date,actual,predicted_rf,disruption_score,google_trends,exchange_rate,residual,pct_error
2019-01-01,244239.0,207131.0,0.0,60.5,179.8,37108.0,15.19
2019-02-01,252033.0,205676.0,0.0,55.5,178.2,46357.0,18.39
2019-03-01,244328.0,204484.0,0.0,54.0,176.0,39844.0,16.31
2019-04-01,166975.0,170316.0,9.0,69.0,176.2,-3341.0,2.0
2019-05-01,37802.0,89216.0,6.0,30.5,177.8,-51414.0,136.01
2019-06-01,63072.0,73817.0,3.0,39.0,176.1,-10745.0,17.04
2019-07-01,115701.0,118282.0,2.0,42.0,176.3,-2581.0,2.23
2019-08-01,143587.0,151282.0,2.0,49.0,177.7,-7695.0,5.36
2019-09-01,108575.0,140676.0,2.0,46.0,180.4,-32101.0,29.57
2019-10-01,118734.0,135530.0,2.0,42.5,181.3,-16796.0,14.15
2019-11-01,176984.0,154652.0,2.0,48.5,180.8,22332.0,12.62
2019-12-01,241663.0,189179.0,2.0,56.0,181.6,52484.0,21.72
2020-01-01,228434.0,203028.0,2.0,61.5,181.2,25406.0,11.12
2020-02-01,207507.0,192292.0,2.0,49.0,182.7,15215.0,7.33
2020-03-01,71370.0,119108.0,2.0,25.0,187.6,-47738.0,66.89
2020-04-01,0.0,43915.0,10.0,15.0,190.5,-43915.0,
2020-05-01,0.0,12429.0,10.0,15.5,187.1,-12429.0,
2020-06-01,0.0,5648.0,10.0,20.5,185.5,-5648.0,
2020-07-01,0.0,2740.0,9.0,21.5,185.9,-2740.0,
2020-08-01,0.0,3827.0,7.0,23.0,185.7,-3827.0,
2020-09-01,0.0,4510.0,6.0,21.5,185.3,-4510.0,
2020-10-01,0.0,3868.0,5.0,17.5,185.7,-3868.0,
2020-11-01,0.0,3979.0,5.0,16.0,185.6,-3979.0,
2020-12-01,393.0,7035.0,5.0,22.0,186.4,-6642.0,1690.14
2021-01-01,1682.0,8013.0,5.0,26.0,191.5,-6331.0,376.37
2021-02-01,3366.0,8613.0,5.0,28.0,195.2,-5247.0,155.87
2021-03-01,4581.0,8149.0,5.0,27.5,197.8,-3568.0,77.88
2021-04-01,4168.0,10236.0,5.0,30.5,200.6,-6068.0,145.58
2021-05-01,1497.0,11304.0,5.0,19.5,201.9,-9807.0,655.14
2021-06-01,1614.0,10236.0,5.0,17.0,199.9,-8622.0,534.23
2021-07-01,2429.0,6533.0,4.0,23.0,199.3,-4104.0,168.96
2021-08-01,5040.0,7252.0,4.0,21.5,201.4,-2212.0,43.9
2021-09-01,13547.0,11039.0,4.0,23.0,200.8,2508.0,18.51
2021-10-01,22771.0,23241.0,4.0,33.0,200.7,-470.0,2.07
2021-11-01,44294.0,45728.0,4.0,33.0,201.3,-1434.0,3.24
2021-12-01,89506.0,74176.0,4.0,33.5,202.9,15330.0,17.13
2022-01-01,82327.0,95804.0,4.0,46.0,202.9,-13477.0,16.37
2022-02-01,96507.0,102353.0,4.0,48.5,202.6,-5846.0,6.06
2022-03-01,106500.0,106832.0,4.0,48.5,244.0,-332.0,0.31
2022-04-01,62980.0,89083.0,6.0,35.0,320.4,-26103.0,41.45
2022-05-01,30207.0,56476.0,7.0,29.5,361.6,-26269.0,86.96
2022-06-01,32856.0,44680.0,7.0,26.5,359.8,-11824.0,35.99
2022-07-01,47293.0,42118.0,7.0,26.0,360.5,5175.0,10.94
2022-08-01,37760.0,42887.0,6.0,31.0,361.4,-5127.0,13.58
2022-09-01,29802.0,45305.0,6.0,31.5,362.9,-15503.0,52.02
2022-10-01,42026.0,48763.0,5.0,29.5,364.2,-6737.0,16.03
2022-11-01,59759.0,51220.0,5.0,31.0,363.1,8539.0,14.29
2022-12-01,91961.0,74242.0,5.0,33.5,361.1,17719.0,19.27
2023-01-01,102545.0,94030.0,5.0,39.0,363.8,8515.0,8.3
2023-02-01,107639.0,96926.0,5.0,34.0,365.4,10713.0,9.95
2023-03-01,125495.0,98695.0,5.0,35.5,332.5,26800.0,21.36
2023-04-01,105498.0,102791.0,2.0,38.5,310.6,2707.0,2.57
2023-05-01,83309.0,102127.0,2.0,38.5,305.1,-18818.0,22.59
2023-06-01,100388.0,106599.0,2.0,41.5,301.7,-6211.0,6.19
2023-07-01,143039.0,120119.0,2.0,43.0,312.6,22920.0,16.02
2023-08-01,136405.0,124152.0,2.0,41.5,323.9,12253.0,8.98
2023-09-01,111938.0,127611.0,2.0,43.5,324.5,-15673.0,14.0
2023-10-01,109199.0,127772.0,2.0,40.5,326.3,-18573.0,17.01
2023-11-01,151496.0,136697.0,2.0,43.0,327.1,14799.0,9.77
2023-12-01,210352.0,153794.0,2.0,46.0,325.8,56558.0,26.89
2024-01-01,208253.0,163058.0,2.0,50.5,321.2,45195.0,21.7
2024-02-01,218350.0,155383.0,2.0,45.5,315.8,62967.0,28.84
2024-03-01,209181.0,150877.0,2.0,44.0,302.9,58304.0,27.87
2024-04-01,148867.0,144253.0,2.0,47.0,300.4,4614.0,3.1
2024-05-01,112128.0,139350.0,2.0,45.5,301.6,-27222.0,24.28
2024-06-01,113470.0,126943.0,2.0,43.5,302.5,-13473.0,11.87
2024-07-01,187810.0,131795.0,2.0,45.0,303.1,56015.0,29.83
2024-08-01,164609.0,143519.0,1.0,46.5,302.6,21090.0,12.81
2024-09-01,122140.0,145107.0,1.0,45.0,303.8,-22967.0,18.8
2024-10-01,135907.0,132508.0,1.0,42.5,304.9,3399.0,2.5
2024-11-01,184158.0,136388.0,1.0,44.0,306.0,47770.0,25.94
2024-12-01,248592.0,160993.0,1.0,48.5,307.5,87599.0,35.24
2025-01-01,252761.0,181100.0,1.0,58.0,308.1,71661.0,28.35
2025-02-01,240217.0,175427.0,1.0,48.0,308.9,64790.0,26.97
2025-03-01,229298.0,178503.0,1.0,52.5,309.6,50795.0,22.15
