,arrivals,exchange_rate,inflation,google_trends,disruption_score
2018-01-01,238924.0,153.8,4.0,62.5,0.0
2018-02-01,235618.0,155.1,3.8,53.5,0.0
2018-03-01,233382.0,155.5,4.2,51.0,0.0
2018-04-01,180429.0,157.5,4.5,51.0,0.0
2018-05-01,129466.0,158.3,4.7,46.5,0.0
2018-06-01,146828.0,158.9,5.0,45.5,0.0
2018-07-01,217829.0,159.7,4.9,52.5,0.0
2018-08-01,200359.0,160.7,4.8,56.5,0.0
2018-09-01,149087.0,161.5,4.5,50.0,0.0
2018-10-01,153123.0,167.0,4.3,50.5,0.0
2018-11-01,195582.0,176.1,3.9,51.0,0.0
2018-12-01,253169.0,180.1,3.7,54.5,0.0
2019-01-01,244239.0,179.8,3.5,60.5,0.0
2019-02-01,252033.0,178.2,3.3,55.5,0.0
2019-03-01,244328.0,176.0,3.5,54.0,0.0
2019-04-01,166975.0,176.2,3.7,69.0,9.0
2019-05-01,37802.0,177.8,3.0,30.5,6.0
2019-06-01,63072.0,176.1,3.1,39.0,3.0
2019-07-01,115701.0,176.3,3.3,42.0,2.0
2019-08-01,143587.0,177.7,3.5,49.0,2.0
2019-09-01,108575.0,180.4,3.8,46.0,2.0
2019-10-01,118734.0,181.3,4.1,42.5,2.0
2019-11-01,176984.0,180.8,4.3,48.5,2.0
2019-12-01,241663.0,181.6,4.6,56.0,2.0
2020-01-01,228434.0,181.2,6.2,61.5,2.0
2020-02-01,207507.0,182.7,6.0,49.0,2.0
2020-03-01,71370.0,187.6,5.7,25.0,2.0
2020-04-01,0.0,190.5,5.5,15.0,10.0
2020-05-01,0.0,187.1,5.3,15.5,10.0
2020-06-01,0.0,185.5,4.8,20.5,10.0
2020-07-01,0.0,185.9,4.5,21.5,9.0
2020-08-01,0.0,185.7,4.0,23.0,7.0
2020-09-01,0.0,185.3,4.0,21.5,6.0
2020-10-01,0.0,185.7,5.2,17.5,5.0
2020-11-01,0.0,185.6,5.8,16.0,5.0
2020-12-01,393.0,186.4,6.5,22.0,5.0
2021-01-01,1682.0,191.5,5.7,26.0,5.0
2021-02-01,3366.0,195.2,5.5,28.0,5.0
2021-03-01,4581.0,197.8,5.0,27.5,5.0
2021-04-01,4168.0,200.6,4.9,30.5,5.0
2021-05-01,1497.0,201.9,4.7,19.5,5.0
2021-06-01,1614.0,199.9,5.4,17.0,5.0
2021-07-01,2429.0,199.3,5.7,23.0,4.0
2021-08-01,5040.0,201.4,6.0,21.5,4.0
2021-09-01,13547.0,200.8,6.7,23.0,4.0
2021-10-01,22771.0,200.7,7.5,33.0,4.0
2021-11-01,44294.0,201.3,9.0,33.0,4.0
2021-12-01,89506.0,202.9,11.1,33.5,4.0
2022-01-01,82327.0,202.9,14.2,46.0,4.0
2022-02-01,96507.0,202.6,17.5,48.5,4.0
2022-03-01,106500.0,244.0,21.5,48.5,4.0
2022-04-01,62980.0,320.4,29.8,35.0,6.0
2022-05-01,30207.0,361.6,39.1,29.5,7.0
2022-06-01,32856.0,359.8,54.6,26.5,7.0
2022-07-01,47293.0,360.5,60.8,26.0,7.0
2022-08-01,37760.0,361.4,64.3,31.0,6.0
2022-09-01,29802.0,362.9,73.7,31.5,6.0
2022-10-01,42026.0,364.2,66.0,29.5,5.0
2022-11-01,59759.0,363.1,61.0,31.0,5.0
2022-12-01,91961.0,361.1,57.2,33.5,5.0
2023-01-01,102545.0,363.8,53.2,39.0,5.0
2023-02-01,107639.0,365.4,50.3,34.0,5.0
2023-03-01,125495.0,332.5,49.5,35.5,5.0
2023-04-01,105498.0,310.6,35.3,38.5,2.0
2023-05-01,83309.0,305.1,25.2,38.5,2.0
2023-06-01,100388.0,301.7,12.1,41.5,2.0
2023-07-01,143039.0,312.6,4.6,43.0,2.0
2023-08-01,136405.0,323.9,4.0,41.5,2.0
2023-09-01,111938.0,324.5,1.3,43.5,2.0
2023-10-01,109199.0,326.3,1.5,40.5,2.0
2023-11-01,151496.0,327.1,4.0,43.0,2.0
2023-12-01,210352.0,325.8,4.1,46.0,2.0
2024-01-01,208253.0,321.2,4.5,50.5,2.0
2024-02-01,218350.0,315.8,3.2,45.5,2.0
2024-03-01,209181.0,302.9,1.5,44.0,2.0
2024-04-01,148867.0,300.4,1.5,47.0,2.0
2024-05-01,112128.0,301.6,0.9,45.5,2.0
2024-06-01,113470.0,302.5,0.5,43.5,2.0
2024-07-01,187810.0,303.1,1.4,45.0,2.0
2024-08-01,164609.0,302.6,0.5,46.5,1.0
2024-09-01,122140.0,303.8,-0.5,45.0,1.0
2024-10-01,135907.0,304.9,2.1,42.5,1.0
2024-11-01,184158.0,306.0,2.0,44.0,1.0
2024-12-01,248592.0,307.5,2.1,48.5,1.0
2025-01-01,252761.0,308.1,2.2,58.0,1.0
2025-02-01,240217.0,308.9,1.9,48.0,1.0
2025-03-01,229298.0,309.6,1.8,52.5,1.0
2025-04-01,174608.0,308.7,1.9,53.5,1.0
2025-05-01,132919.0,299.4,2.0,48.5,1.0
2025-06-01,138241.0,299.7,2.0,48.5,1.0
2025-07-01,200244.0,301.1,2.0,60.5,1.0
2025-08-01,198235.0,300.8,1.2,94.5,1.0
2025-09-01,158971.0,302.1,1.5,90.5,1.0
2025-10-01,165193.0,303.1,2.1,80.0,1.0
2025-11-01,212906.0,306.2,2.2,86.0,1.0
2025-12-01,258928.0,309.2,2.2,98.0,1.0
2026-01-01,277327.0,309.5,2.3,94.5,1.0
2026-02-01,279328.0,309.3,1.6,95.5,1.0
2026-03-01,183979.0,311.8,2.2,77.5,3.0
2026-05-01,135643.0,321.08,5.4,47.5,3.0
